"symbol","fiscal_date_ending","reported_currency","total_assets","total_current_assets","cash_and_cash_equivalents","cash_and_short_term_investments","inventory","current_net_receivables","total_non_current_assets","property_plant_equipment","accumulated_depreciation_amortization_ppe","intangible_assets","goodwill","long_term_investments","short_term_investments","other_current_assets","other_non_current_assets","total_liabilities","total_current_liabilities","current_accounts_payable","deferred_revenue","current_debt","short_term_debt","total_non_current_liabilities","capital_lease_obligations","long_term_debt","short_long_term_debt_total","other_current_liabilities","other_non_current_liabilities","total_shareholder_equity","treasury_stock","retained_earnings","common_stock","common_stock_shares_outstanding"
"AA","2013-12-31","USD","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","181700000"
"AA","2014-12-31","USD","18680000000","2917000000","266000000","266000000","1501000000","474000000","15763000000","11326000000","NaN","70000000","160000000","1777000000","NaN","676000000","NaN","5607000000","2735000000","1740000000","NaN","NaN","29000000","2872000000","NaN","313000000","342000000","825000000","NaN","10599000000","NaN","NaN","11915000000","182400000"
"AA","2015-12-31","USD","16413000000","2566000000","557000000","557000000","1172000000","504000000","13847000000","9390000000","NaN","53000000","152000000","1472000000","NaN","333000000","NaN","4900000000","2404000000","1379000000","NaN","NaN","18000000","2496000000","NaN","207000000","225000000","871000000","NaN","9442000000","NaN","NaN","11042000000","182400000"
"AA","2016-12-31","USD","16734000000","3181000000","853000000","853000000","1160000000","834000000","13553000000","9452000000","NaN","135000000","155000000","1358000000","0","334000000","NaN","9044000000","2842000000","1455000000","NaN","NaN","21000000","6202000000","NaN","1424000000","1445000000","1198000000","172000000","5648000000","0","-104000000","2000000","182538152"
"AA","2017-12-31","USD","17447000000","4238000000","1358000000","1358000000","1453000000","1043000000","13209000000","9277000000","NaN","62000000","154000000","1410000000","0","384000000","NaN","10652000000","3252000000","1898000000","NaN","NaN","16000000","7400000000","NaN","1388000000","1404000000","1056000000","84000000","4520000000","0","113000000","2000000","186981665"
"AA","2018-12-31","USD","15946000000","4134000000","1113000000","1113000000","1644000000","1003000000","11812000000","8450000000","NaN","57000000","151000000","1360000000","3000000","393000000","NaN","8553000000","2919000000","1663000000","NaN","NaN","1000000","5634000000","NaN","1801000000","1802000000","829000000","54000000","5386000000","NaN","341000000","2000000","188534139"
"AA","2019-12-31","USD","14640000000","3530000000","879000000","879000000","1644000000","660000000","11110000000","8040000000","NaN","52000000","150000000","1113000000","59000000","347000000","NaN","8784000000","2563000000","1484000000","NaN","NaN","1000000","6221000000","100000000","1799000000","1800000000","974000000","58000000","4082000000","NaN","-555000000","2000000","185000000"
"AA","2020-12-31","USD","14860000000","4520000000","1607000000","1607000000","1398000000","556000000","10340000000","7190000000","NaN","45000000","145000000","1051000000","21000000","959000000","NaN","9844000000","2761000000","1403000000","NaN","NaN","79000000","7083000000","82000000","2463000000","2624000000","1188000000","3363000000","3311000000","NaN","-725000000","2000000","186000000"
"AA","2021-12-31","USD","15025000000","5026000000","1814000000","1814000000","1956000000","884000000","10000000000","6623000000","NaN","36000000","144000000","1199000000","14000000","372000000","NaN","8741000000","3223000000","1674000000","NaN","NaN","76000000","5518000000","64000000","1726000000","1866000000","1099000000","599000000","4672000000","NaN","-315000000","2000000","190000000"
"AA","2022-12-31","USD","14756000000","5250000000","1363000000","1363000000","2427000000","909000000","9506000000","6493000000","NaN","29000000","145000000","1143000000","-21000000","551000000","NaN","8167000000","3004000000","1757000000","NaN","NaN","1000000","5163000000","59000000","1806000000","1866000000","1016000000","486000000","5076000000","NaN","-570000000","2000000","181000000"
"AA","2023-12-31","USD","14155000000","4405000000","944000000","944000000","2158000000","808000000","9750000000","6785000000","NaN","37000000","146000000","979000000","29000000","495000000","NaN","8310000000","3030000000","1714000000","NaN","NaN","135000000","5280000000","104000000","1732000000","1971000000","1093000000","36000000","4251000000","NaN","-1293000000","2000000","178000000"
"AA","2024-12-31","USD","14064000000","4914000000","1138000000","1138000000","1998000000","1239000000","9150000000","6389000000","NaN","36000000","142000000","980000000","NaN","539000000","NaN","8907000000","3395000000","1805000000","NaN","NaN","125000000","5512000000","223000000","2470000000","2818000000","1363000000","50000000","5157000000","NaN","-1323000000","3000000","214051326"
