"id","symbol","ex_dividend_date","amount","declaration_date","record_date","payment_date"
1,"CUTR","1900-01-01",NULL,"1900-01-01","1900-01-01","1900-01-01"
2,"HAS","2025-05-21","0.7","2025-04-17","2025-05-21","2025-06-04"
3,"HAS","2025-03-03","0.7","2025-02-20","2025-03-03","2025-03-12"
4,"HAS","2024-11-20","0.7","2024-10-17","2024-11-20","2024-12-04"
5,"HAS","2024-08-21","0.7","2024-07-25","2024-08-21","2024-09-04"
6,"HAS","2024-04-30","0.7","2024-02-08","2024-05-01","2024-05-15"
7,"HAS","2024-01-31","0.7","2023-12-18","2024-02-01","2024-02-15"
8,"HAS","2023-10-31","0.7","2023-08-04","2023-11-01","2023-11-15"
9,"HAS","2023-07-31","0.7","2023-05-18","2023-08-01","2023-08-15"
10,"HAS","2023-04-28","0.7","2023-02-13","2023-05-01","2023-05-15"
11,"HAS","2023-01-31","0.7","2022-12-06","2023-02-01","2023-02-15"
12,"HAS","2022-10-31","0.7","2022-07-28","2022-11-01","2022-11-15"
13,"HAS","2022-07-29","0.7","2022-05-19","2022-08-01","2022-08-15"
14,"HAS","2022-04-29","0.7","2022-02-07","2022-05-02","2022-05-16"
15,"HAS","2022-01-31","0.68","2021-12-02","2022-02-01","2022-02-15"
16,"HAS","2021-10-29","0.68","2021-07-28","2021-11-01","2021-11-15"
17,"HAS","2021-07-30","0.68","2021-05-20","2021-08-02","2021-08-16"
18,"HAS","2021-04-30","0.68","2021-02-08","2021-05-03","2021-05-17"
19,"HAS","2021-02-01","0.68","2020-12-03","2021-02-02","2021-02-16"
20,"HAS","2020-10-30","0.68",NULL,NULL,NULL
21,"HAS","2020-07-31","0.68","2020-05-14","2020-08-03","2020-08-17"
22,"HAS","2020-04-30","0.68",NULL,NULL,NULL
23,"HAS","2020-01-30","0.68",NULL,NULL,NULL
24,"HAS","2019-10-31","0.68",NULL,NULL,NULL
25,"HAS","2019-07-31","0.68",NULL,NULL,NULL
26,"HAS","2019-04-30","0.68",NULL,NULL,NULL
27,"HAS","2019-01-31","0.63",NULL,NULL,NULL
28,"HAS","2018-10-31","0.63",NULL,NULL,NULL
29,"HAS","2018-07-31","0.63",NULL,NULL,NULL
30,"HAS","2018-04-30","0.63",NULL,NULL,NULL
31,"HAS","2018-01-31","0.57",NULL,NULL,NULL
32,"HAS","2017-10-31","0.57",NULL,NULL,NULL
33,"HAS","2017-07-28","0.57",NULL,NULL,NULL
34,"HAS","2017-04-27","0.57",NULL,NULL,NULL
35,"HAS","2017-01-30","0.51",NULL,NULL,NULL
36,"HAS","2016-10-28","0.51",NULL,NULL,NULL
37,"HAS","2016-07-28","0.51",NULL,NULL,NULL
38,"HAS","2016-04-28","0.51",NULL,NULL,NULL
39,"HAS","2016-01-29","0.46",NULL,NULL,NULL
40,"HAS","2015-10-29","0.46",NULL,NULL,NULL
41,"HAS","2015-07-30","0.46",NULL,NULL,NULL
42,"HAS","2015-04-29","0.46",NULL,NULL,NULL
43,"HAS","2015-01-30","0.43",NULL,NULL,NULL
44,"HAS","2014-10-30","0.43",NULL,NULL,NULL
45,"HAS","2014-07-30","0.43",NULL,NULL,NULL
46,"HAS","2014-04-29","0.43",NULL,NULL,NULL
47,"HAS","2014-01-31","0.4",NULL,NULL,NULL
48,"HAS","2013-10-30","0.4",NULL,NULL,NULL
49,"HAS","2013-07-30","0.4",NULL,NULL,NULL
50,"HAS","2013-04-29","0.4",NULL,NULL,NULL
51,"HAS","2012-12-13","0.36",NULL,NULL,NULL
52,"HAS","2012-10-31","0.36",NULL,NULL,NULL
53,"HAS","2012-07-30","0.36",NULL,NULL,NULL
54,"HAS","2012-04-27","0.36",NULL,NULL,NULL
55,"HAS","2012-01-30","0.3",NULL,NULL,NULL
56,"HAS","2011-10-28","0.3",NULL,NULL,NULL
57,"HAS","2011-07-28","0.3",NULL,NULL,NULL
58,"HAS","2011-04-28","0.3",NULL,NULL,NULL
59,"HAS","2011-01-28","0.25",NULL,NULL,NULL
60,"HAS","2010-10-28","0.25",NULL,NULL,NULL
61,"HAS","2010-07-29","0.25",NULL,NULL,NULL
62,"HAS","2010-04-29","0.25",NULL,NULL,NULL
63,"HAS","2010-01-29","0.2",NULL,NULL,NULL
64,"HAS","2009-10-29","0.2",NULL,NULL,NULL
65,"HAS","2009-07-30","0.2",NULL,NULL,NULL
66,"HAS","2009-04-29","0.2",NULL,NULL,NULL
67,"HAS","2009-01-30","0.2",NULL,NULL,NULL
68,"HAS","2008-10-30","0.2",NULL,NULL,NULL
69,"HAS","2008-07-30","0.2",NULL,NULL,NULL
70,"HAS","2008-04-29","0.2",NULL,NULL,NULL
71,"HAS","2008-01-30","0.16",NULL,NULL,NULL
72,"HAS","2007-10-30","0.16",NULL,NULL,NULL
73,"HAS","2007-07-30","0.16",NULL,NULL,NULL
74,"HAS","2007-04-27","0.16",NULL,NULL,NULL
75,"HAS","2007-01-30","0.12",NULL,NULL,NULL
76,"HAS","2006-10-30","0.12",NULL,NULL,NULL
77,"HAS","2006-07-28","0.12",NULL,NULL,NULL
78,"HAS","2006-04-27","0.12",NULL,NULL,NULL
79,"HAS","2006-01-30","0.09",NULL,NULL,NULL
80,"HAS","2005-10-28","0.09",NULL,NULL,NULL
81,"HAS","2005-07-28","0.09",NULL,NULL,NULL
82,"HAS","2005-04-28","0.09",NULL,NULL,NULL
83,"HAS","2005-01-28","0.06",NULL,NULL,NULL
84,"HAS","2004-10-28","0.06",NULL,NULL,NULL
85,"HAS","2004-07-29","0.06",NULL,NULL,NULL
86,"HAS","2004-04-29","0.06",NULL,NULL,NULL
87,"HAS","2004-01-29","0.03",NULL,NULL,NULL
88,"HAS","2003-10-30","0.03",NULL,NULL,NULL
89,"HAS","2003-07-30","0.03",NULL,NULL,NULL
90,"HAS","2003-04-29","0.03",NULL,NULL,NULL
91,"HAS","2003-01-29","0.03",NULL,NULL,NULL
92,"HAS","2002-10-30","0.03",NULL,NULL,NULL
93,"HAS","2002-07-30","0.03",NULL,NULL,NULL
94,"HAS","2002-04-29","0.03",NULL,NULL,NULL
95,"HAS","2002-01-30","0.03",NULL,NULL,NULL
